"(M - mandatory;
O - optional;
Suits,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,,,,O,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,O
Sherwanis,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O
Track Shirts,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Track Suits,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Unstitched Fabrics,M,M,M,M,,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O
Dresses,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O
Tops,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O
Trousers,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,O,,,O,,O,O,O,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Capris,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,O,,,O,,O,O,O,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Coordinates,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Playsuits,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Jumpsuits,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Shrugs & Blouses,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Blazers & Waistcoats,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
"Tights, Leggings & Jeggings",M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Track Pants,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Jeans,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Shorts,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,O,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Joggers,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,O,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Dhotis & Dhoti Pants,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,O,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Churidars,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,O,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O
Salwars,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,O,,O,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O
Dungarees & Jumpsuits,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Skirts,M,M,M,M,M,M,,,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,,,,,O,,O,O,O,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Clothing Sets,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Belts,M,M,M,M,M,,,,,,O,,,,O,,O,O,O,O,O,,M,O,O,O,O,O,,,,O,,,,,M,,,,,,O,O,O,,,,,,,,,,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Caps & Hats,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,M,O,O,O,O,O,,,,O,,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
"Kurtis, Tunics",M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,O,O,O
Sarees,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,O,O,O
Ethnic Wear,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,O,O,O
Palazzos,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,O,O,O
Dress Materials,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,O,O,O
Lehenga Cholis,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,O,O,O
Dupattas & Shawls,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,O,O,O
Burqas & Hijabs,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,O,O,O
Blouses,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,O,O,O
Blouse Pieces,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,O,O,O
Briefs,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Boxers,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Vests,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Robes,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Night Suits,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,O,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Thermal Wear,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Swim Bottoms,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Swimwear,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Bra,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,,,,,,O
Shapewear,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,,,,,,O
Sleepwear & Loungewear,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Camisoles,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Lingerie Sets & Accessories,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,,,,,,O
Bath Robes,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Towels,M,M,M,M,,,,,,,O,,,,O,O,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Pyjamas,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,O,,O,O,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Party Wear,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,O
Innerwear & Sleepwear,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,O,,,,O,O,O,O,,,,O
Nightwear & Loungewear,M,M,M,M,M,M,,,,,O,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,O,,,,,O,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Watches,M,M,M,M,,,M,M,M,M,O,,,,O,,O,O,O,O,O,,,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,O
Gloves,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Socks,M,M,M,M,M,M,,,,,O,,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Stockings,M,M,M,M,,M,,,,,O,,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Laces,M,M,M,M,,M,,,,,O,,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Soles & Charms,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Shoe Racks & Organisers,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Shoe Care - Accessories,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Flip-Flops & Flats,M,M,M,M,M,M,,,,,O,,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Sandals & Floaters,M,M,M,M,M,O,,,,,O,,,,O,,O,O,O,O,O,O,M,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Backpacks,M,M,M,M,,M,,O,,,O,,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,O,O,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,O,O,,,,,,,,,,,,,O,O,O,O,,,,,,,,,O
Handbags,M,M,M,M,,,,O,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,O,O,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,O,O,O,O,,,,,,O,O,O,O
"Trolley, Luggage & Suitcases",M,M,M,M,,M,,O,,,O,,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,O,O,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,O,O,O,O,,,,,,,,,O
Formal Shoes,M,M,M,M,M,M,,,,,O,,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Casual Shoes,M,M,M,M,M,M,,,,,O,,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Sports Shoes,M,M,M,M,M,M,,,,,O,M,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Outdoor Shoes,M,M,M,M,M,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Work & Safety Shoes,M,M,M,M,M,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Ethnic Shoes,M,M,M,M,M,M,,,,,O,,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Boots,M,M,M,M,M,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Heels,M,M,M,M,M,M,,,,,O,,,,O,,O,O,O,O,O,O,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Contact Lenses,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,,,,,,,,,,,,,O
Eye Glasses,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,O
Eye Glass Frames,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,O
Sunglasses,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,O
Contact Lens Cases,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Contact Lens Solutions,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Contact Lens Tweezers,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Eyeglasses Pouches & Cases,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Microfiber Wipes,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Eyewear Slings,M,M,M,M,,,,,,,O,,,,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Bracelets,M,M,M,M,,,,,,,O,,M,M,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,O,O,O,O
Chains,M,M,M,M,,,,,,,O,,M,M,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,O,O,O,O
Mangalsutra,M,M,M,M,,,,,,,O,,M,M,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,O,O,O,O
Anklets,M,M,M,M,,,,,,,O,,M,M,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,O,O,O,O
Bangles & Bracelets,M,M,M,M,,,,,,,O,,O,O,O,,O,O,O,O,O,,O,O,O,O,O,O,,,,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,O,O,O,O
